"rep_n","treatment","colony","tracking_system","treat_TS_colony","exp_start","post_start","post_end","exp_end","middle_end","middle_start","pre_end","pre_start"
1,"DF","c05","alleline","DF_alleline_c05",2022-10-31 08:00:00,2022-11-01 09:30:00,2022-11-01 18:30:00,2022-11-01 18:30:00,2022-11-01 06:30:00,2022-10-31 21:30:00,2022-10-31 18:30:00,2022-10-31 09:30:00
7,"NF","c11","alleline","NF_alleline_c11",2022-12-05 20:00:00,2022-12-06 21:30:00,2022-12-07 06:30:00,2022-12-07 06:30:00,2022-12-06 18:30:00,2022-12-06 09:30:00,2022-12-06 06:30:00,2022-12-05 21:30:00
3,"DF","c15","alleline","DF_alleline_c15",2022-11-14 08:00:11,2022-11-15 09:30:00,2022-11-15 18:30:00,2022-11-15 18:30:00,2022-11-15 06:30:00,2022-11-14 21:30:00,2022-11-14 18:30:00,2022-11-14 09:30:00
5,"NS","c17","alleline","NS_alleline_c17",2022-11-21 20:00:00,2022-11-22 21:30:00,2022-11-23 06:30:00,2022-11-23 06:30:00,2022-11-22 18:30:00,2022-11-22 09:30:00,2022-11-22 06:30:00,2022-11-21 21:30:00
9,"DS","c49","alleline","DS_alleline_c49",2022-12-12 08:00:00,2022-12-13 09:30:00,2022-12-13 18:30:00,2022-12-13 18:30:00,2022-12-13 06:30:00,2022-12-12 21:30:00,2022-12-12 18:30:00,2022-12-12 09:30:00
2,"NS","c50","alleline","NS_alleline_c50",2022-11-07 20:00:00,2022-11-08 21:30:00,2022-11-09 06:30:00,2022-11-09 06:30:00,2022-11-08 18:30:00,2022-11-08 09:30:00,2022-11-08 06:30:00,2022-11-07 21:30:00
11,"DF","c57","alleline","DF_alleline_c57",2022-12-19 08:00:00,2022-12-20 09:30:00,2022-12-20 18:30:00,2022-12-20 18:30:00,2022-12-20 06:30:00,2022-12-19 21:30:00,2022-12-19 18:30:00,2022-12-19 09:30:00
3,"NS","c08","guillam","NS_guillam_c08",2022-11-15 20:00:00,2022-11-16 21:30:00,2022-11-17 06:30:00,2022-11-17 06:30:00,2022-11-16 18:30:00,2022-11-16 09:30:00,2022-11-16 06:30:00,2022-11-15 21:30:00
7,"DS","c19","guillam","DS_guillam_c19",2022-12-06 08:00:00,2022-12-07 09:30:00,2022-12-07 18:30:00,2022-12-07 18:30:00,2022-12-07 06:30:00,2022-12-06 21:30:00,2022-12-06 18:30:00,2022-12-06 09:30:00
12,"NF","c39","guillam","NF_guillam_c39",2022-12-20 20:00:10,2022-12-21 21:30:00,2022-12-22 06:30:00,2022-12-22 06:30:00,2022-12-21 18:30:00,2022-12-21 09:30:00,2022-12-21 06:30:00,2022-12-20 21:30:00
9,"NF","c65","guillam","NF_guillam_c65",2022-12-13 20:00:00,2022-12-14 21:30:00,2022-12-15 06:30:00,2022-12-15 06:30:00,2022-12-14 18:30:00,2022-12-14 09:30:00,2022-12-14 06:30:00,2022-12-13 21:30:00
1,"NS","c04","haydon","NS_haydon_c04",2022-11-01 20:00:00,2022-11-02 21:30:00,2022-11-03 06:30:00,2022-11-03 06:30:00,2022-11-02 18:30:00,2022-11-02 09:30:00,2022-11-02 06:30:00,2022-11-01 21:30:00
2,"DF","c16","haydon","DF_haydon_c16",2022-11-08 08:04:42,2022-11-09 09:30:00,2022-11-09 18:30:00,2022-11-09 18:30:00,2022-11-09 06:30:00,2022-11-08 21:30:00,2022-11-08 18:30:00,2022-11-08 09:30:00
3,"DS","c23","haydon","DS_haydon_c23",2022-11-15 08:00:00,2022-11-16 09:30:00,2022-11-16 18:30:00,2022-11-16 18:30:00,2022-11-16 06:30:00,2022-11-15 21:30:00,2022-11-15 18:30:00,2022-11-15 09:30:00
12,"DS","c34","haydon","DS_haydon_c34",2022-12-20 08:00:00,2022-12-21 09:30:00,2022-12-21 18:30:00,2022-12-21 18:30:00,2022-12-21 06:30:00,2022-12-20 21:30:00,2022-12-20 18:30:00,2022-12-20 09:30:00
5,"NF","c35","haydon","NF_haydon_c35",2022-11-22 20:07:34,2022-11-23 21:30:00,2022-11-24 06:30:00,2022-11-24 06:30:00,2022-11-23 18:30:00,2022-11-23 09:30:00,2022-11-23 06:30:00,2022-11-22 21:30:00
7,"NS","c48","haydon","NS_haydon_c48",2022-12-06 20:34:03,2022-12-07 21:30:00,2022-12-08 06:30:00,2022-12-08 06:30:00,2022-12-07 18:30:00,2022-12-07 09:30:00,2022-12-07 06:30:00,2022-12-06 21:30:00
6,"DF","c66","haydon","DF_haydon_c66",2022-11-29 08:00:00,2022-11-30 09:30:00,2022-11-30 18:30:00,2022-11-30 18:30:00,2022-11-30 06:30:00,2022-11-29 21:30:00,2022-11-29 18:30:00,2022-11-29 09:30:00
1,"DS","c13","karla","DS_karla_c13",2022-11-01 09:53:04,2022-11-02 09:30:00,2022-11-02 18:30:00,2022-11-02 18:30:00,2022-11-02 06:30:00,2022-11-01 21:30:00,2022-11-01 19:00:00,2022-11-01 10:00:00
11,"DS","c25","karla","DS_karla_c25",2022-12-20 08:00:00,2022-12-21 09:30:00,2022-12-21 18:30:00,2022-12-21 18:30:00,2022-12-21 06:30:00,2022-12-20 21:30:00,2022-12-20 18:30:00,2022-12-20 09:30:00
10,"DF","c28","karla","DF_karla_c28",2022-12-13 08:00:00,2022-12-14 09:30:00,2022-12-14 18:30:00,2022-12-14 18:30:00,2022-12-14 06:30:00,2022-12-13 21:30:00,2022-12-13 18:30:00,2022-12-13 09:30:00
2,"NF","c29","karla","NF_karla_c29",2022-11-08 20:00:00,2022-11-09 21:30:00,2022-11-10 06:30:00,2022-11-10 06:30:00,2022-11-09 18:30:00,2022-11-09 09:30:00,2022-11-09 06:30:00,2022-11-08 21:30:00
5,"DF","c45","karla","DF_karla_c45",2022-11-22 08:04:43,2022-11-23 09:30:00,2022-11-23 18:30:00,2022-11-23 18:30:00,2022-11-23 06:30:00,2022-11-22 21:30:00,2022-11-22 18:30:00,2022-11-22 09:30:00
4,"DS","c52","karla","DS_karla_c52",2022-11-15 08:00:00,2022-11-16 09:38:00,2022-11-16 18:38:00,2022-11-16 18:38:00,2022-11-16 06:30:00,2022-11-15 21:30:00,2022-11-15 18:30:00,2022-11-15 09:30:00
6,"NF","c60","karla","NF_karla_c60",2022-11-29 20:01:58,2022-11-30 21:30:00,2022-12-01 06:30:00,2022-12-01 06:30:00,2022-11-30 18:30:00,2022-11-30 09:30:00,2022-11-30 06:30:00,2022-11-29 21:30:00
8,"NS","c67","karla","NS_karla_c67",2022-12-06 20:32:07,2022-12-07 21:30:00,2022-12-08 06:30:00,2022-12-08 06:30:00,2022-12-07 18:30:00,2022-12-07 09:30:00,2022-12-07 06:30:00,2022-12-06 21:30:00
4,"NS","c36","leamas","NS_leamas_c36",2022-11-15 20:00:00,2022-11-16 21:30:00,2022-11-17 06:30:00,2022-11-17 06:30:00,2022-11-16 18:30:00,2022-11-16 09:30:00,2022-11-16 06:30:00,2022-11-15 21:30:00
8,"DS","c61","leamas","DS_leamas_c61",2022-12-06 08:00:00,2022-12-07 09:30:00,2022-12-07 18:30:00,2022-12-07 18:30:00,2022-12-07 06:30:00,2022-12-06 21:30:00,2022-12-06 18:30:00,2022-12-06 09:30:00
2,"DS","c02","polyakov","DS_polyakov_c02",2022-11-07 08:00:00,2022-11-08 09:30:00,2022-11-08 18:30:00,2022-11-08 18:30:00,2022-11-08 06:30:00,2022-11-07 21:30:00,2022-11-07 18:30:00,2022-11-07 09:30:00
10,"DS","c37","polyakov","DS_polyakov_c37",2022-12-12 08:00:00,2022-12-13 09:30:00,2022-12-13 18:30:00,2022-12-13 18:30:00,2022-12-13 06:30:00,2022-12-12 21:30:00,2022-12-12 18:30:00,2022-12-12 09:30:00
8,"NF","c38","polyakov","NF_polyakov_c38",2022-12-05 20:00:00,2022-12-06 21:30:00,2022-12-07 06:30:00,2022-12-07 06:30:00,2022-12-06 18:30:00,2022-12-06 09:30:00,2022-12-06 06:30:00,2022-12-05 21:30:00
5,"DS","c46","polyakov","DS_polyakov_c46",2022-11-21 08:00:50,2022-11-22 09:30:00,2022-11-22 18:30:00,2022-11-22 18:30:00,2022-11-22 06:30:00,2022-11-21 21:30:00,2022-11-21 18:30:00,2022-11-21 09:30:00
6,"NS","c58","polyakov","NS_polyakov_c58",2022-11-28 20:00:00,2022-11-29 21:30:00,2022-11-30 06:30:00,2022-11-30 06:30:00,2022-11-29 18:30:00,2022-11-29 09:30:00,2022-11-29 06:30:00,2022-11-28 21:30:00
12,"DF","c62","polyakov","DF_polyakov_c62",2022-12-19 08:00:00,2022-12-20 09:30:00,2022-12-20 18:30:00,2022-12-20 18:30:00,2022-12-20 06:30:00,2022-12-19 21:30:00,2022-12-19 18:30:00,2022-12-19 09:30:00
1,"NF","c68","polyakov","NF_polyakov_c68",2022-10-31 20:00:00,2022-11-01 21:30:00,2022-11-02 06:30:00,2022-11-02 06:30:00,2022-11-01 18:30:00,2022-11-01 09:30:00,2022-11-01 06:30:00,2022-10-31 21:30:00
4,"DF","c69","polyakov","DF_polyakov_c69",2022-11-14 08:00:37,2022-11-15 09:30:00,2022-11-15 18:30:00,2022-11-15 18:30:00,2022-11-15 06:30:00,2022-11-14 21:30:00,2022-11-14 18:30:00,2022-11-14 09:30:00
10,"NS","c03","prideaux","NS_prideaux_c03",2022-12-12 20:00:00,2022-12-13 21:30:00,2022-12-14 06:30:00,2022-12-14 06:30:00,2022-12-13 18:30:00,2022-12-13 09:30:00,2022-12-13 06:30:00,2022-12-12 21:30:00
4,"NF","c32","prideaux","NF_prideaux_c32",2022-11-14 20:00:00,2022-11-15 21:30:00,2022-11-16 06:30:00,2022-11-16 06:30:00,2022-11-15 18:30:00,2022-11-15 09:30:00,2022-11-15 06:30:00,2022-11-14 21:30:00
8,"DF","c42","prideaux","DF_prideaux_c42",2022-12-05 08:01:56,2022-12-06 09:30:00,2022-12-06 18:30:00,2022-12-06 18:30:00,2022-12-06 06:30:00,2022-12-05 21:30:00,2022-12-05 18:30:00,2022-12-05 09:30:00
11,"NS","c56","prideaux","NS_prideaux_c56",2022-12-20 20:00:00,2022-12-21 21:30:00,2022-12-22 06:30:00,2022-12-22 06:30:00,2022-12-21 18:30:00,2022-12-21 09:30:00,2022-12-21 06:30:00,2022-12-20 21:30:00
11,"NF","c09","trojan","NF_trojan_c09",2022-12-19 20:00:00,2022-12-20 21:30:00,2022-12-21 06:30:00,2022-12-21 06:30:00,2022-12-20 18:30:00,2022-12-20 09:30:00,2022-12-20 06:30:00,2022-12-19 21:30:00
3,"NF","c10","trojan","NF_trojan_c10",2022-11-14 20:00:00,2022-11-15 21:30:00,2022-11-16 06:30:00,2022-11-16 06:30:00,2022-11-15 18:30:00,2022-11-15 09:30:00,2022-11-15 06:30:00,2022-11-14 21:30:00
7,"DF","c20","trojan","DF_trojan_c20",2022-12-05 08:03:41,2022-12-06 09:30:00,2022-12-06 18:30:00,2022-12-06 18:30:00,2022-12-06 06:30:00,2022-12-05 21:30:00,2022-12-05 18:30:00,2022-12-05 09:30:00
9,"NS","c40","trojan","NS_trojan_c40",2022-12-12 20:00:00,2022-12-13 21:30:00,2022-12-14 06:30:00,2022-12-14 06:30:00,2022-12-13 18:30:00,2022-12-13 09:30:00,2022-12-13 06:30:00,2022-12-12 21:30:00
